型式,クローズ,多軸,MINA,MINB,MAXA,MAXB,歯数,,,,,傾きH,傾きW,,
RTH-421,,,-0.6,24,-1.5,75,,,,,,3,5,,RTH-421
RTH-422,,,-0.6,24,-1.5,75,,,,,,3,5,,RTH-422
RTH-423,,,-0.6,24,-1.5,75,,,,,,3,5,,RTH-423
RTH-424,,,-0.6,24,-1.5,75,,,,,,3,5,,RTH-424
RTH-425,,,-0.6,24,-1.5,75,,,,,,3,5,,RTH-425
RTH-426,,,-0.6,24,-1.5,75,,,,,,3,5,,RTH-426
RTH-501,,,-0.6,24,-1.5,75,,,,,,3,5,,RTH-501
RTH-502,,,,0,,99,,,,,,3,5,,RTH-502
RTH-503,,,-0.6,24,-1.5,75,,,,,,3,5,,RTH-503
RTH-504,,,-0.6,24,-1.5,75,,,,,,3,5,,RTH-504
RTH-506,,,-0.6,24,-1.5,75,,,,,,3,5,,RTH-506
RTH-507,,,-0.6,24,-1.5,75,,,,,,3,5,,RTH-507
RTH-508,,,-0.6,24,-1.5,75,,,,,,3,5,,RTH-508
RTH-510,,,-0.6,24,-1.5,75,,,,,,3,5,,RTH-510
RTH-511,,,-0.6,24,-1.5,75,,,,,,3,5,,RTH-511
RTH-512,,,,0,,10,,,,,,3,5,,RTH-512
RTH-513,,,-0.6,24,-1.5,75,,,,,,3,5,,RTH-513
RTH-514,,,-0.6,24,-1.5,75,,,,,,3,5,,RTH-514
RTH-515,,,-0.6,24,-1.5,75,,,,,,3,5,,RTH-515
RTH-516,,,-0.6,24,-1.5,75,,,,,,3,5,,RTH-516
RTH-517,,,-0.6,24,-1.5,75,,,,,,3,5,,RTH-517
RTH-518,,,-0.6,24,-1.5,75,,,,,,3,5,,RTH-518
RTH-520,,,-0.6,24,-1.5,75,,,,,,3,5,,RTH-520
RTH-521,,,-0.6,24,-1.5,75,,,,,,3,5,,RTH-521
RTH-522,,,-0.6,24,-1.5,75,,,,,,3,5,,RTH-522
RTH-523,,,-0.6,24,-1.5,75,,,,,,3,5,,RTH-523
RTH-524,,,-0.6,24,-1.5,75,,,,,,3,5,,RTH-524
RTH-525,,,-0.6,24,-1.5,75,,,,,,3,5,,RTH-525
RTH-526,,,-0.6,24,-1.5,75,,,,,,3,5,,RTH-526
RTH-527,,,-0.6,24,-1.5,75,,,,,,3,5,,RTH-527
RTH-528,,,-0.6,24,-1.5,75,,,,,,3,5,,RTH-528
RTH-529,,,-0.6,24,-1.5,75,,,,,,3,5,,RTH-529
RTH-530,,,,0,,99,,,,,,3,5,,RTH-530
RTH-531,,,,,,,,,,,,3,5,,RTH-531
RTH-533,,,-0.6,24,-1.5,75,,,,,,3,5,,RTH-533
RTH-534,,,-0.6,24,-1.5,75,,,,,,3,5,,RTH-534
RTH-601,,,-0.6,23,-1.5,65,,,,,,3,5,,RTH-601
RTH-602,,,-0.6,23,-1.5,65,,,,,,3,5,,RTH-602
RTH-603,,,-0.6,23,-1.5,65,,,,,,3,5,,RTH-603
RTH-604,,,,0,,99,,,,,,3,5,,RTH-604
RTH-605,,,,0,,99,,,,,,3,5,,RTH-605
RTH-606,,,-0.6,23,-1.5,65,,,,,,3,5,,RTH-606
RTH-607,,,-0.6,23,-1.5,65,,,,,,3,5,,RTH-607
RTH-608,,,-0.6,23,-1.5,65,,,,,,3,5,,RTH-608
RTH-609,,,-0.6,24,-1.5,75,,,,,,3,5,,RTH-609
RTH-610,,,-0.6,23,-1.5,65,,,,,,3,5,,RTH-610
RTH-611,,,-0.6,23,-1.5,65,,,,,,3,5,,RTH-611
RTH-612,,,-0.6,23,-1.5,65,,,,,,3,5,,RTH-612
RTH-613,,,-0.6,23,-1.5,65,,,,,,3,5,,RTH-613
RTH-614,,,,0,,99,,,,,,3,5,,RTH-614
RTH-615,,,-0.6,23,-1.5,65,,,,,,3,5,,RTH-615
RTH-616,,,,0,,99,,,,,,3,5,,RTH-616
RTH-617,,,-0.6,23,-1.5,65,,,,,,3,5,,RTH-617
RTH-618,,,-0.6,23,-1.5,65,,,,,,3,5,,RTH-618
RTH-619,,,-0.6,24,-1.5,75,,,,,,3,5,,RTH-619
RTH-620,,,-0.6,23,-1.5,65,,,,,,3,5,,RTH-620
RTH-622,,,-0.6,23,-1.5,65,,,,,,3,5,,RTH-622
RTH-624,,,-0.6,24,-1.5,75,,,,,,3,5,,RTH-624
RTH-801,,,,7,,30,,,,,,3,5,,RTH-801
RTH-802,,,,7,,30,,,,,,3,5,,RTH-802
RTH-803,,,,7,,30,,,,,,3,5,,RTH-803
RTH-804,,,,7,,30,,,,,,3,5,,RTH-804
RTH-805,,,,0,,99,,,,,,3,5,,RTH-805
RTH-806,,,,7,,30,,,,,,3,5,,RTH-806
RTH-807,,,,7,,30,,,,,,3,5,,RTH-807
RTH-808,,,,7,,30,,,,,,3,5,,RTH-808
RTH-809,,,,7,,30,,,,,,3,5,,RTH-809
RTH-901,,,,0,,99,,,,,,3,5,,RTH-901
RTH-902,,,,7,,30,,,,,,3,5,,RTH-902
RTH-903,,,,7,,30,,,,,,3,5,,RTH-903
RTH-904,,,,7,,30,,,,,,3,5,,RTH-904
RTH-905,,,,7,,30,,,,,,3,5,,RTH-905
RTH-907,,,,7,,30,,,,,,3,5,,RTH-907
RTH-908,,,,7,,30,,,,,,3,5,,RTH-908
RTH-909,,,,0,,99,,,,,,3,5,,RTH-909
RTT-101,,,,0,,10,,,,,,3,5,,RTT-101
RTT-102,,,-0.4,29,-1.18,87.1,,,,,,3,5,,RTT-102
RTT-103,,,-0.4,29,-1.18,87.1,,,,,,3,5,,RTT-103
RTT-104,,,-0.4,29,-1.18,87.1,,,,,,3,5,,RTT-104
RTT-105,,,,0,,10,,,,,,3,5,,RTT-105
RTT-106,,,-0.4,29,-1.18,87.1,,,,,,3,5,,RTT-106
RTT-107,,,,0,,10,,,,,,3,5,,RTT-107
RTT-108,,,-0.4,29,-1.18,87.1,,,,,,3,5,,RTT-108
RTT-111,,,-0.4,29,-1.18,87.1,,,,,,3,5,,RTT-111
RTT-112,,,,0,,10,,,,,,3,5,,RTT-112
RTT-113,,,,0,,10,,,,,,3,5,,RTT-113
RTT-115,,,,0,,10,,,,,,3,5,,RTT-115
RTT-116,,,,0,,10,,,,,,3,5,,RTT-116
RTT-117,,,-0.4,29,-1.18,87.1,,,,,,3,5,,RTT-117
RTT-119,,,,0,,10,,,,,,3,5,,RTT-119
RTT-120,,,-0.6,24,-1.3,80,,,,,,4,7,,RTT-120
RTT-121,,,-0.4,29,-1.18,87.1,,,,,,3,5,,RTT-121
RTT-124,,,-0.6,24,-1.3,80,,,,,,4,7,,RTT-124
RTT-128,,,-0.6,24,-1.3,80,,,,,,4,7,,RTT-128
RTT-201,,,,0,,10,,,,,,3,5,,RTT-201
RTT-202,,,,0,,10,,,,,,3,5,,RTT-202
RTT-203,,,-0.6,24,-1.3,80,,,,,,3,5,,RTT-203
RTT-204,,,-0.6,24,-1.3,80,,,,,,3,5,,RTT-204
RTT-205,,,-0.6,24,-1.3,80,,,,,,3,5,,RTT-205
RTT-206,,,-0.6,24,-1.3,80,,,,,,3,5,,RTT-206
RTT-207,,,-0.6,24,-1.3,80,,,,,,3,5,,RTT-207
RTT-208,,,,0,,10,,,,,,3,5,,RTT-208
RTT-209,,,,0,,10,,,,,,3,5,,RTT-209
